id,name,proposalsCount
cakevote.eth,PancakeSwap,3727
snapshot.dcl.eth,Decentraland,2665
cvx.eth,Convex Finance,1461
polls.lenster.xyz,Hey Polls,1460
index-coop.eth,Index Coop,1409
aladdindao.eth,AladdinDAO,978
snxgov.eth,Synthetix SCCP/SIP,914
veclev.eth,CLever,906
balancer.eth,Balancer,886
bentfinance.eth,Bent Finance,859
sdbal.eth,Stake DAO BAL,837
sharkdao.eth,SharkDAO,759
aave.eth,Aave,738
gm365.eth,gm DAO,731
aurafinance.eth,Aura Finance,721
frami.eth,frami y otras hierbas,657
sdcrv-gov.eth,sdCRV-Governance,643
apollodao.eth,WEALTHDAO,639
huwacoin.eth,HUWA-DAO,635
maturka.eth,9K DAO,626
leagueoflils.eth,League of Lils,582
eth6888.eth,lovebnbdao,568
bancornetwork.eth,Bancor,552
hvax.eth,Event Horizon,545
aavegotchi.eth,Aavegotchi,542
toniya.eth,Klaytn Dex,534
14cat.eth,MATIC Test Space,522
lemu.dcl.eth,dcl.governance.test,518
zys888.eth,MATIC 2021,496
frax.eth,Frax,484
haitangkeji.eth,haidao,481
orbapp.eth,Orb,479
ppyaa.eth,PaoPao,477
pnounsdao.eth,pNounsDAO,472
abcdcba.eth,matic,462
•8099.eth,MaticDAO,455
yequ.eth,夜曲,451
concentratordao.eth,Concentrator,449
sdfxs.eth,Stake DAO FXS,440
bnbdddd.eth,bnb,439
✓✓✓✓✓.eth,BNB2.0,438
fabien.eth,Fabien,436
boboat321.eth,MATIC DAO DAO,434
yokaiswap.eth,rabbithole.gg,413
jbdao.eth,JuiceboxDAO,405
wdswap.eth,WdDao,404
alexec.eth,AlexDAO,402
goopsnapshot.eth,GOOP TROOP,391
zirouziyu.eth,USDC-Matic,391
rosette093510.eth,Rosette,391
dcip.eth,DCIP,389
alluo.eth,Alluo,389
matic.joints.eth,MATICDAO,387
skgame.eth,skgame,380
loveeachother.eth,loveeachother,371
figure1.eth,AntCaveDAO,369
ethip.eth,MATIC,367
2021eth.eth,2021eth,364
goodmorningnews.eth,Good Morning News,352
lido-snapshot.eth,Lido,346
dao-dvision.eth,Dvision Binance Test,342
arbitrumfoundation.eth,Arbitrum DAO,342
biteren.eth,poly dao,341
guodanpi.eth,guodanpi,329
polygondaoo.eth,polygon,325
dapang.eth,MATIC,324
iwan.eth,Iwan,322
aggris88.eth,PulseXV2B,321
bwkj88.eth,Socialfi DAO,320
magicappstore.eth,Magic Square,319
nibajie.eth,nibajie,318
fuse.eth,Rari Capital DAO,317
apecoin.eth,ApeCoin DAO,313
dapang1.eth,pylygon1,313
dogamoni.eth,ZKSYNC,295
olympusdao.eth,OlympusDAO,293
